"rt","stimulus","key_press","screenid","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","final_height_px","final_width_px","scale_factor","value","attr_trial","attractiveness_face","screen_id","attractiveness_rating"
"636415.4","Welcome to the experiment. <br> We will start with a quick calibration of the screen. <br> Press any key to begin","32","welcome","html-keyboard-response","0","636438","0.0-0.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","","","",""
"","","","","resize","1","640779","0.0-1.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","304","0.6004938271604938","","","","",""
"","","","","call-function","2","640782","0.0-2.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","","","",""
"7589.600000000093","<div style='width: 70%;margin:0 auto;'><h1>First part: Attractiveness Rating</h1><p>In this first part of the experiment you will be asked to rate how attractive you find different faces. Each face will appear only for a limited time (3 seconds) and you will then be able to give your rating on scale from 0-100.<p>Try to pay attention so that you do not miss the faces!</p><p>Press any key when you are ready</p></div>","32","instruction_attractiveness","html-keyboard-response","3","648372","0.0-3.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","","","",""
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/13 BF-243.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","4","651378","0.0-4.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","0","img/13 BF-243.jpg","",""
"4290.399999999907","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","5","655672","0.0-5.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","0","","attractiveness_scale","72"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/6 LF-209.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","6","658685","0.0-6.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","1","img/6 LF-209.jpg","",""
"3429.399999999907","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","7","662117","0.0-7.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","1","","attractiveness_scale","65"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/13 BF-217.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","8","665126","0.0-8.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","2","img/13 BF-217.jpg","",""
"3361.2000000001863","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","9","668490","0.0-9.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","2","","attractiveness_scale","73"
